Strain	T0
Denmark/ALAB-HH01/2020	563
Denmark/ALAB-HH02/2020	559
Denmark/ALAB-HH03/2020	793
Denmark/ALAB-HH04/2020	722
Denmark/ALAB-HH05/2020	793
Denmark/ALAB-HH06/2020	721
Denmark/ALAB-HH07/2020	793
Denmark/ALAB-HH08/2020	815
Denmark/ALAB-HH11/2020	793
Denmark/ALAB-HH13/2020	699
Denmark/ALAB-HH14/2020	723
Denmark/ALAB-HH15/2020	1651
Denmark/ALAB-HH16/2020	624
Denmark/ALAB-HH17/2020	624
Denmark/ALAB-HH18/2020	793
Denmark/ALAB-HH19/2020	486
Denmark/ALAB-HH20/2020	890
Denmark/ALAB-HH21/2020	3351
Denmark/ALAB-HH22/2020	793
Denmark/ALAB-HH23/2020	793
Denmark/ALAB-HH24/2020	793
Denmark/ALAB-HH25/2020	793
Denmark/ALAB-HH26/2020	4139
Denmark/ALAB-HH27/2020	767
Denmark/ALAB-HH28/2020	772
Denmark/ALAB-HH29/2020	4712
Denmark/ALAB-HH30/2020	3344
Denmark/ALAB-HH31/2020	766
Denmark/ALAB-HH32/2020	626
Denmark/ALAB-HH35/2020	571
Denmark/ALAB-HH37/2020	778
Denmark/ALAB-HH38/2020	867
Denmark/ALAB-HH39/2020	2889
Denmark/ALAB-HH41/2020	771
Denmark/ALAB-HH42/2020	591
Denmark/ALAB-HH43/2020	793
Denmark/ALAB-HH46/2020	865
Denmark/ALAB-HH49/2020	675
Denmark/ALAB-HH50/2020	865
Denmark/ALAB-HH51/2020	743
Denmark/ALAB-HH77/2020	776
Denmark/ALAB-HH80/2020	770
Denmark/ALAB-HH81/2020	776
Denmark/ALAB-HH82/2020	793
Denmark/ALAB-HH83/2020	690
Denmark/ALAB-HH84/2020	3964
Denmark/ALAB-HH87/2020	866
Denmark/ALAB-HH88/2020	3116
Denmark/ALAB-HH89/2020	792
Denmark/ALAB-HH91/2020	555
Denmark/ALAB-HH92/2020	769
Denmark/ALAB-HH96/2020	868
Denmark/ALAB-SSI-1235/2020	552
Denmark/ALAB-SSI-1238/2020	703
Denmark/ALAB-SSI-1239/2020	613
Denmark/ALAB-SSI-1241/2020	793
Denmark/ALAB-SSI-1243/2020	3348
Denmark/ALAB-SSI-1244/2020	793
Denmark/ALAB-SSI-1245/2020	3328
Denmark/ALAB-SSI-1246/2020	1738
Denmark/ALAB-SSI-1248/2020	786
Denmark/ALAB-SSI-1249/2020	793
Denmark/ALAB-SSI-1250/2020	3001
Denmark/ALAB-SSI-1252/2020	793
Denmark/ALAB-SSI-1256/2020	3346
Denmark/ALAB-SSI-1257/2020	784
Denmark/ALAB-SSI-1260/2020	465
Denmark/ALAB-SSI-1261/2020	611
Denmark/ALAB-SSI-1262/2020	1739
Denmark/ALAB-SSI-1263/2020	4028
Denmark/ALAB-SSI-1264/2020	793
Denmark/ALAB-SSI-1265/2020	793
Denmark/ALAB-SSI-1268/2020	676
Denmark/ALAB-SSI-1269/2020	793
Denmark/ALAB-SSI-1270/2020	793
Denmark/ALAB-SSI-1272/2020	711
Denmark/ALAB-SSI-133/2020	235
Denmark/ALAB-SSI-135/2020	609
Denmark/ALAB-SSI-136/2020	727
Denmark/ALAB-SSI-137/2020	594
Denmark/ALAB-SSI-138/2020	485
Denmark/ALAB-SSI-197/2020	564
Denmark/ALAB-SSI-242/2020	876
Denmark/ALAB-SSI-243/2020	597
Denmark/ALAB-SSI-244/2020	3351
Denmark/ALAB-SSI-245/2020	916
Denmark/ALAB-SSI-246/2020	711
Denmark/ALAB-SSI-247/2020	490
Denmark/ALAB-SSI-248/2020	1637
Denmark/ALAB-SSI-251/2020	3355
Denmark/ALAB-SSI-284/2020	606
Denmark/ALAB-SSI-674/2020	3963
Denmark/ALAB-SSI-756/2020	793
Denmark/ALAB-SSI-757/2020	793
Denmark/ALAB-SSI-761/2020	865
Denmark/ALAB-SSI-762/2020	602
Denmark/ALAB-SSI101/2020	4705
Denmark/ALAB-SSI102/2020	957
Denmark/ALAB-SSI103/2020	3158
Denmark/ALAB-SSI104/2020	774
Denmark/ALAB-SSI105/2020	793
Denmark/ALAB-SSI106/2020	864
Denmark/ALAB-SSI107/2020	832
Denmark/ALAB-SSI108/2020	4798
Denmark/ALAB-SSI109/2020	1340
Denmark/ALAB-SSI110/2020	725
Denmark/ALAB-SSI111/2020	793
Denmark/ALAB-SSI113/2020	724
Denmark/ALAB-SSI114/2020	744
Denmark/ALAB-SSI117/2020	916
Denmark/ALAB-SSI118/2020	1241
Denmark/ALAB-SSI119/2020	484
Denmark/ALAB-SSI120/2020	557
Denmark/ALAB-SSI121/2020	554
Denmark/ALAB-SSI122/2020	554
Denmark/ALAB-SSI123/2020	793
Denmark/ALAB-SSI125/2020	1340
Denmark/ALAB-SSI126/2020	609
Denmark/ALAB-SSI128/2020	793
Denmark/ALAB-SSI129/2020	872
Denmark/ALAB-SSI132/2020	793
Denmark/ALAB-SSI139/2020	596
Denmark/ALAB-SSI141/2020	851
Denmark/ALAB-SSI142/2020	3351
Denmark/ALAB-SSI143/2020	852
Denmark/ALAB-SSI144/2020	569
Denmark/ALAB-SSI145/2020	856
Denmark/ALAB-SSI146/2020	560
Denmark/ALAB-SSI147/2020	569
Denmark/ALAB-SSI148/2020	567
Denmark/ALAB-SSI149/2020	3304
Denmark/ALAB-SSI150/2020	793
Denmark/ALAB-SSI151/2020	793
Denmark/ALAB-SSI154/2020	788
Denmark/ALAB-SSI155/2020	855
Denmark/ALAB-SSI156/2020	793
Denmark/ALAB-SSI157/2020	3351
Denmark/ALAB-SSI158/2020	793
Denmark/ALAB-SSI159/2020	703
Denmark/ALAB-SSI160/2020	703
Denmark/ALAB-SSI162/2020	793
Denmark/ALAB-SSI163/2020	793
Denmark/ALAB-SSI164/2020	609
Denmark/ALAB-SSI167/2020	560
Denmark/ALAB-SSI168/2020	624
Denmark/ALAB-SSI169/2020	551
Denmark/ALAB-SSI171/2020	560
Denmark/ALAB-SSI172/2020	793
Denmark/ALAB-SSI173/2020	793
Denmark/ALAB-SSI174/2020	707
Denmark/ALAB-SSI183/2020	569
Denmark/ALAB-SSI184/2020	569
Denmark/ALAB-SSI186/2020	569
Denmark/ALAB-SSI187/2020	487
Denmark/ALAB-SSI189/2020	569
Denmark/ALAB-SSI190/2020	605
Denmark/ALAB-SSI193/2020	2385
Denmark/ALAB-SSI194/2020	793
Denmark/ALAB-SSI195/2020	793
Denmark/ALAB-SSI199/2020	3331
Denmark/ALAB-SSI200/2020	1583
Denmark/ALAB-SSI201/2020	4823
Denmark/ALAB-SSI202/2020	691
Denmark/ALAB-SSI203/2020	3325
Denmark/ALAB-SSI204/2020	862
Denmark/ALAB-SSI205/2020	720
Denmark/ALAB-SSI207/2020	556
Denmark/ALAB-SSI209/2020	4823
Denmark/ALAB-SSI213/2020	793
Denmark/ALAB-SSI215/2020	793
Denmark/ALAB-SSI216/2020	1340
Denmark/ALAB-SSI219/2020	870
Denmark/ALAB-SSI221/2020	1851
Denmark/ALAB-SSI226/2020	1247
Denmark/ALAB-SSI228/2020	3342
Denmark/ALAB-SSI234/2020	1130
Denmark/ALAB-SSI235/2020	1340
Denmark/ALAB-SSI239/2020	853
Denmark/ALAB-SSI253/2020	670
Denmark/ALAB-SSI254/2020	492
Denmark/ALAB-SSI256/2020	3327
Denmark/ALAB-SSI258/2020	3351
Denmark/ALAB-SSI259/2020	3351
Denmark/ALAB-SSI260/2020	568
Denmark/ALAB-SSI261/2020	732
Denmark/ALAB-SSI262/2020	237
Denmark/ALAB-SSI263/2020	1340
Denmark/ALAB-SSI264/2020	3335
Denmark/ALAB-SSI265/2020	3351
Denmark/ALAB-SSI268/2020	793
Denmark/ALAB-SSI269/2020	863
Denmark/ALAB-SSI270/2020	3347
Denmark/ALAB-SSI271/2020	703
Denmark/ALAB-SSI271A/2020	569
Denmark/ALAB-SSI272/2020	609
Denmark/ALAB-SSI273/2020	236
Denmark/ALAB-SSI274/2020	569
Denmark/ALAB-SSI275/2020	569
Denmark/ALAB-SSI276/2020	234
Denmark/ALAB-SSI277/2020	817
Denmark/ALAB-SSI279/2020	793
Denmark/ALAB-SSI280/2020	687
Denmark/ALAB-SSI282/2020	573
Denmark/ALAB-SSI283/2020	569
Denmark/ALAB-SSI285/2020	569
Denmark/ALAB-SSI286/2020	3404
Denmark/ALAB-SSI288/2020	570
Denmark/ALAB-SSI29/2020	1307
Denmark/ALAB-SSI293/2020	3350
Denmark/ALAB-SSI298/2020	710
Denmark/ALAB-SSI299/2020	793
Denmark/ALAB-SSI300/2020	793
Denmark/ALAB-SSI301/2020	546
Denmark/ALAB-SSI302/2020	855
Denmark/ALAB-SSI323/2020	569
Denmark/ALAB-SSI324/2020	4164
Denmark/ALAB-SSI329/2020	476
Denmark/ALAB-SSI330/2020	241
Denmark/ALAB-SSI332/2020	569
Denmark/ALAB-SSI402/2020	608
Denmark/ALAB-SSI404/2020	565
Denmark/ALAB-SSI405/2020	1891
Denmark/ALAB-SSI407/2020	793
Denmark/ALAB-SSI408/2020	854
Denmark/ALAB-SSI409/2020	609
Denmark/ALAB-SSI411/2020	793
Denmark/ALAB-SSI412/2020	1340
Denmark/ALAB-SSI413/2020	793
Denmark/ALAB-SSI414/2020	726
Denmark/ALAB-SSI416/2020	793
Denmark/ALAB-SSI417/2020	793
Denmark/ALAB-SSI418/2020	876
Denmark/ALAB-SSI419/2020	861
Denmark/ALAB-SSI420/2020	1814
Denmark/ALAB-SSI423/2020	650
Denmark/ALAB-SSI424/2020	763
Denmark/ALAB-SSI426/2020	787
Denmark/ALAB-SSI514/2020	793
Denmark/SSI-01/2020	1382
Denmark/SSI-02/2020	150
Denmark/SSI-03/2020	4391
Denmark/SSI-04/2020	376
Denmark/SSI-05/2020	1624
Denmark/SSI-09/2020	4412
Denmark/SSI-101/2020	4708
Denmark/SSI-102/2020	956
Denmark/SSI-104/2020	773
Finland/13M19/2020	4695
Finland/13M26/2020	728
Finland/13M27/2020	578
Finland/13M29/2020	121
Finland/13M3/2020	1640
Finland/13M33/2020	425
Finland/13M57/2020	3952
Finland/13M58/2020	470
Finland/13M60/2020	468
Finland/13M64/2020	469
Finland/13M65/2020	471
Finland/13M69/2020	700
Finland/13M6S4/2020	940
Finland/13M77/2020	1988
Finland/13M79/2020	2872
Finland/13M82/2020	473
Finland/13M83/2020	688
Finland/14M12/2020	466
Finland/14M13/2020	4694
Finland/14M14/2020	4715
Finland/14M16/2020	472
Finland/14M20/2020	2707
Finland/14M26/2020	467
Finland/14M3/2020	671
Finland/14M32/2020	576
Finland/14M74/2020	3345
Finland/14M77/2020	4083
Finland/14M82/2020	2920
Finland/FIN-114/2020	4771
Finland/FIN-25/2020	4768
Finland/FIN-274/2020	2355
Finland/FIN-313/2020	1854
Finland/FIN-318/2020	1800
Finland/FIN-455/2020	547
Finland/FIN-508/2020	1931
Finland/FIN01032020/2020	2354
Finland/FIN03032020A/2020	947
Finland/FIN03032020B/2020	2353
Finland/FIN03032020C/2020	1795
France/211_80/2020	525
France/ARA-08938-isl/2020	656
France/ARA-09112-isl/2020	446
France/ARA05288/2020	443
France/ARA0591/2020	4300
France/ARA0592/2020	4303
France/ARA06032/2020	259
France/ARA06391/2020	4612
France/ARA06923/2020	4551
France/ARA07055/2020	811
France/ARA07148/2020	445
France/ARA07169/2020	442
France/ARA0731/2020	810
France/ARA07314/2020	4614
France/ARA07639/2020	448
France/ARA07722/2020	841
France/ARA07731/2020	2882
France/ARA0779/2020	444
France/ARA07910/2020	440
France/ARA08067/2020	840
France/ARA0814/2020	394
France/ARA08417/2020	4323
France/ARA08589/2020	439
France/ARA0873/2020	783
France/ARA08938/2020	813
France/ARA09178/2020	4613
France/ARA09193/2020	338
France/ARA094100/2020	4663
France/ARA09428/2020	438
France/ARA09434/2020	4664
France/ARA09451/2020	4579
France/B1623/2020	434
France/B2330/2020	692
France/B2334/2020	3248
France/B2335/2020	577
France/B2336/2020	824
France/B2337/2020	801
France/B2340/2020	3249
France/B2343/2020	579
France/B2344/2020	664
France/B2346/2020	694
France/B2348/2020	745
France/B2349/2020	666
France/B2351/2020	665
France/B6041/2020	4733
France/BFC2094/2020	4630
France/BFC2147/2020	4575
France/Bourg-en-Bresse_06678/2020	4542
France/Bourg-en-Bresse_06813/2020	814
France/CIBU200107/2020	761
France/CIBU200132/2020	390
France/Clermont-Ferrand_650/2020	4549
France/Clermont-Ferrand_651/2020	4529
France/CVL2000/2020	4544
France/GE1583-2/2020	3868
France/GE1583/2020	3869
France/GE1973/2020	4387
France/GE1977/2020	389
France/GE2720/2020	4688
France/GE2722/2020	4667
France/GE8766/2020	4588
France/GE8767/2020	4545
France/GE8771/2020	4461
France/GE8774/2020	4545
France/HF1463/2020	549
France/HF1465/2020	549
France/HF1645/2020	793
France/HF1684/2020	395
France/HF1795/2020	818
France/HF1805/2020	436
France/HF1813/2020	740
France/HF1870/2020	4421
France/HF1871/2020	759
France/HF1986/2020	860
France/HF1988/2020	838
France/HF1989/2020	839
France/HF1993/2020	392
France/HF1995/2020	432
France/HF2039/2020	677
France/HF2060/2020	387
France/HF2150/2020	751
France/HF2151/2020	4546
France/HF2155/2020	380
France/HF2174/2020	391
France/HF2196/2020	4688
France/HF2234/2020	730
France/HF2237/2020	661
France/HF2239/2020	431
France/HF2306/2020	762
France/HF2381/2020	663
France/HF2393/2020	382
France/HF2405/2020	645
France/HF2496/2020	4678
France/IDF0372-isl/2020	3228
France/IDF0386-islP1/2020	3227
France/IDF0386-islP3/2020	3226
France/IDF0515-isl/2020	3212
France/IDF0571/2020	3213
France/IDF0626/2020	3286
France/IDF1980/2020	383
France/IDF2075/2020	672
France/IDF2251/2020	756
France/IDF2252/2020	758
France/IDF2253/2020	755
France/IDF2256/2020	757
France/IDF2278/2020	4617
France/IDF2279/2020	4533
France/IDF2284/2020	639
France/IDF2359/2020	523
France/IDF2410/2020	429
France/IDF2412/2020	887
France/IDF2414/2020	886
France/IDF2420/2020	4452
France/IDF2532/2020	427
France/IDF2533/2020	428
France/IDF2534/2020	4604
France/IDF2536/2020	4619
France/IDF2548/2020	760
France/IHU-0012/2020	1301
France/IHU-0014/2020	4498
France/IHU-0016/2020	4676
France/IHU-0017/2020	3316
France/IHU-0018/2020	998
France/IHU-0019/2020	844
France/IHU-0020/2020	4672
France/IHU-0021/2020	884
France/IHU-0022/2020	844
France/IHU-0024/2020	1213
France/IHU-0026/2020	4535
France/IHU-0130/2020	882
France/IHU-0131/2020	844
France/IHU-0132/2020	3962
France/IHU-0133/2020	4466
France/IHU-0135/2020	4679
France/IHU-0136/2020	4455
France/IHU-0139/2020	505
France/IHU-0648/2020	845
France/IHU-0649/2020	1471
France/IHU-0655/2020	4457
France/IHU-0659/2020	1622
France/IHU-0756/2020	430
France/IHU-0760/2020	4534
France/IHU-0851/2020	4443
France/IHU-0852/2020	885
France/IHU-0869/2020	4671
France/IHU-0871/2020	883
France/IHU-0906/2020	3467
France/Lyon_06042/2020	4556
France/Lyon_06056/2020	4431
France/Lyon_06487/2020	4432
France/Lyon_06531/2020	4616
France/Lyon_06573/2020	3281
France/Lyon_06625/2020	4553
France/Lyon_0668/2020	441
France/Lyon_06820/2020	4552
France/Lyon_0693/2020	447
France/Lyon_487/2020	4550
France/Lyon_508/2020	842
France/Lyon_683/2020	4555
France/Macon_06756/2020	819
France/N1620/2020	373
France/N2223/2020	366
France/NA01745/2020	843
France/PL1643/2020	696
