Strain	T0
Denmark/ALAB-SSI151/2020	735
Denmark/ALAB-SSI154/2020	706
Denmark/ALAB-SSI155/2020	718
Denmark/ALAB-SSI156/2020	735
Denmark/ALAB-SSI157/2020	1232
Denmark/ALAB-SSI158/2020	735
Denmark/ALAB-SSI159/2020	674
Denmark/ALAB-SSI160/2020	674
Denmark/ALAB-SSI162/2020	735
Denmark/ALAB-SSI163/2020	735
Denmark/ALAB-SSI164/2020	693
Denmark/ALAB-SSI167/2020	774
Denmark/ALAB-SSI168/2020	713
Denmark/ALAB-SSI169/2020	675
Denmark/ALAB-SSI171/2020	774
Denmark/ALAB-SSI172/2020	735
Denmark/ALAB-SSI173/2020	735
Denmark/ALAB-SSI174/2020	664
Denmark/ALAB-SSI183/2020	764
Denmark/ALAB-SSI184/2020	764
Denmark/ALAB-SSI186/2020	764
Denmark/ALAB-SSI187/2020	656
Denmark/ALAB-SSI189/2020	764
Denmark/ALAB-SSI190/2020	697
Denmark/ALAB-SSI193/2020	1733
Denmark/ALAB-SSI194/2020	735
Denmark/ALAB-SSI195/2020	735
Denmark/ALAB-SSI199/2020	1229
Denmark/ALAB-SSI200/2020	2089
Denmark/ALAB-SSI201/2020	371
Denmark/ALAB-SSI202/2020	677
Denmark/ALAB-SSI203/2020	1234
Denmark/ALAB-SSI204/2020	719
Denmark/ALAB-SSI205/2020	801
Denmark/ALAB-SSI207/2020	767
Denmark/ALAB-SSI209/2020	371
Denmark/ALAB-SSI216/2020	1974
Denmark/ALAB-SSI219/2020	731
Denmark/ALAB-SSI221/2020	2187
Denmark/ALAB-SSI226/2020	1919
Denmark/ALAB-SSI228/2020	1227
Denmark/ALAB-SSI234/2020	1910
Denmark/ALAB-SSI235/2020	1974
Denmark/ALAB-SSI239/2020	705
Denmark/ALAB-SSI253/2020	775
Denmark/ALAB-SSI254/2020	652
Denmark/ALAB-SSI256/2020	1233
Denmark/ALAB-SSI258/2020	1232
Denmark/ALAB-SSI259/2020	1232
Denmark/ALAB-SSI260/2020	765
Denmark/ALAB-SSI261/2020	744
Denmark/ALAB-SSI262/2020	80
Denmark/ALAB-SSI263/2020	1974
Denmark/ALAB-SSI264/2020	1225
Denmark/ALAB-SSI265/2020	1232
Denmark/ALAB-SSI268/2020	735
Denmark/ALAB-SSI269/2020	733
Denmark/ALAB-SSI270/2020	1230
Denmark/ALAB-SSI271/2020	674
Denmark/ALAB-SSI271A/2020	764
Denmark/ALAB-SSI272/2020	693
Denmark/ALAB-SSI273/2020	79
Denmark/ALAB-SSI274/2020	764
Denmark/ALAB-SSI275/2020	764
Denmark/ALAB-SSI276/2020	83
Denmark/ALAB-SSI277/2020	761
Denmark/ALAB-SSI279/2020	735
Denmark/ALAB-SSI280/2020	709
Denmark/ALAB-SSI282/2020	766
Denmark/ALAB-SSI283/2020	764
Denmark/ALAB-SSI285/2020	764
Denmark/ALAB-SSI286/2020	1256
Denmark/ALAB-SSI288/2020	762
Denmark/ALAB-SSI29/2020	2039
Denmark/ALAB-SSI293/2020	1235
Denmark/ALAB-SSI298/2020	666
Denmark/ALAB-SSI299/2020	735
Denmark/ALAB-SSI300/2020	735
Denmark/ALAB-SSI301/2020	708
Denmark/ALAB-SSI302/2020	718
Denmark/ALAB-SSI330/2020	82
Denmark/ALAB-SSI332/2020	764
Denmark/ALAB-SSI402/2020	694
Denmark/ALAB-SSI404/2020	710
Denmark/ALAB-SSI405/2020	2252
Denmark/ALAB-SSI407/2020	735
Denmark/ALAB-SSI408/2020	734
Denmark/ALAB-SSI409/2020	693
Denmark/ALAB-SSI411/2020	735
Denmark/ALAB-SSI412/2020	1974
Denmark/ALAB-SSI413/2020	735
Denmark/ALAB-SSI414/2020	670
Denmark/ALAB-SSI416/2020	735
Denmark/ALAB-SSI417/2020	735
Denmark/ALAB-SSI418/2020	715
Denmark/SSI-01/2020	1942
Denmark/SSI-02/2020	117
Denmark/SSI-03/2020	356
Denmark/SSI-04/2020	62
Denmark/SSI-05/2020	1959
Denmark/SSI-09/2020	100
Denmark/SSI-101/2020	579
Denmark/SSI-102/2020	105
Denmark/SSI-104/2020	680
Finland/FIN-114/2020	409
Finland/FIN-25/2020	410
Finland/FIN-274/2020	1744
Finland/FIN-313/2020	2182
Finland/FIN-318/2020	2333
Finland/FIN-455/2020	821
Finland/FIN-508/2020	2204
Finland/FIN01032020/2020	1743
Finland/FIN03032020A/2020	604
Finland/FIN03032020B/2020	1742
Finland/FIN03032020C/2020	2325
France/ARA05288/2020	858
France/ARA0591/2020	190
France/ARA0592/2020	116
France/ARA06032/2020	365
France/ARA06391/2020	531
France/ARA06923/2020	534
France/ARA07055/2020	720
France/ARA07148/2020	859
France/ARA07169/2020	862
France/ARA0731/2020	722
France/ARA07314/2020	547
France/B1623/2020	850
France/B2330/2020	665
France/B2334/2020	1361
France/B2335/2020	823
France/B2336/2020	799
France/B2337/2020	815
France/B2340/2020	1362
France/B2343/2020	822
France/B2344/2020	807
France/B2346/2020	791
France/B2348/2020	742
France/B2349/2020	809
France/B2351/2020	808
France/B6041/2020	589
France/BFC2094/2020	556
France/BFC2147/2020	516
France/Bourg-en-Bresse_06678/2020	557
France/Bourg-en-Bresse_06813/2020	716
France/CIBU200107/2020	782
France/CIBU200132/2020	849
France/Clermont-Ferrand_650/2020	533
France/Clermont-Ferrand_651/2020	573
France/CVL2000/2020	558
France/GE1583-2/2020	1066
France/GE1583/2020	1067
France/GE1973/2020	66
France/GE1977/2020	848
France/GE8766/2020	494
France/GE8767/2020	564
France/GE8771/2020	544
France/HF1463/2020	676
France/HF1465/2020	676
France/HF1645/2020	735
France/HF1684/2020	844
France/HF1795/2020	711
France/HF1805/2020	857
France/HF1813/2020	725
France/HF1870/2020	477
France/HF1871/2020	781
France/HF1986/2020	732
France/HF1988/2020	723
France/HF1989/2020	724
France/HF1993/2020	834
France/HF1995/2020	828
France/HF2039/2020	795
France/HF2060/2020	839
France/HF2150/2020	747
France/HF2151/2020	540
France/HF2155/2020	836
France/HF2174/2020	835
France/HF2196/2020	478
France/HF2234/2020	759
France/HF2237/2020	792
France/HF2239/2020	827
France/HF2381/2020	810
France/IDF0372-isl/2020	1345
France/IDF0386-islP1/2020	1344
France/IDF0386-islP3/2020	1343
France/IDF0515-isl/2020	1449
France/IDF0571/2020	1450
France/IDF0626/2020	1276
France/IDF1980/2020	838
France/IDF2075/2020	729
France/IDF2284/2020	683
France/IHU-0012/2020	1996
France/IHU-0014/2020	541
France/IHU-0016/2020	509
France/IHU-0017/2020	1240
France/IHU-0018/2020	1778
France/IHU-0019/2020	820
France/IHU-0021/2020	686
France/IHU-0649/2020	2031
France/IHU-0655/2020	513
France/IHU-0760/2020	565
France/Lyon_06042/2020	493
France/Lyon_06056/2020	496
France/Lyon_06487/2020	562
France/Lyon_06531/2020	548
France/Lyon_06573/2020	1335
France/Lyon_06625/2020	536
France/Lyon_0668/2020	861
France/Lyon_06820/2020	535
France/Lyon_0693/2020	860
France/Lyon_487/2020	568
France/Lyon_508/2020	778
France/Lyon_683/2020	492
France/Macon_06756/2020	702
France/N1620/2020	95
France/N2223/2020	94
France/PL1643/2020	806
France/Pollionay_1733/2020	549
France/RA739/2020	1332
France/Valence_425/2020	2169
France/Valence_532/2020	532
Germany/BE-ChVir-D658-5/2020	427
Germany/BE-ChVir-D665-6/2020	337
Germany/BE-ChVir-D666-2/2020	329
Germany/BE-ChVir-D667-7/2020	325
Germany/BE-ChVir-D670-9/2020	354
Germany/BE-ChVir-D671-8/2020	330
Germany/BE-ChVir-D672-4/2020	326
Germany/BE-ChVir-D679-14/2020	333
Germany/BE-ChVir-D710-10/2020	424
Germany/BE-ChVir-D711-11/2020	625
Germany/BE-ChVir-D712-1/2020	426
Germany/BE-ChVir-D715-D799-17/2020	332
Germany/BE-ChVir-D717-D761-12/2020	423
Germany/BE-ChVir-D718-3/2020	403
Germany/BE-ChVir-D929-15/2020	616
Germany/BE-ChVir-W1191-13/2020	603
Germany/BE-ChVir-W1248-16/2020	331
Germany/BW-ChVir-1577/2020	1937
Germany/BY-BIM-Pat3/2020	1100
Germany/BY-ChVir-1017/2020	873
Germany/BY-ChVir-1019/2020	876
Germany/BY-ChVir-1020/2020	877
Germany/BY-ChVir-1289/2020	874
Germany/BY-ChVir-1356/2020	875
Germany/BY-ChVir-1482/2020	875
Germany/BY-ChVir-1483/2020	875
Germany/BY-ChVir-929-2/2020	878
Germany/BY-ChVir-929/2020	878
Germany/BY-MVP-0002/2020	2344
Germany/BY-MVP-0009/2020	2232
Germany/BY-MVP-0045/2020	2172
Germany/HE-FFM3/2020	1972
Germany/HE-FFM4/2020	1877
Germany/HE-FFM5/2020	1220
Germany/HE-FFM6/2020	1878
Germany/NW-HHU-01/2020	1261
Germany/NW-HHU-011/2020	2190
Germany/NW-HHU-02-1/2020	1250
Germany/NW-HHU-03/2020	1266
Germany/NW-HHU-04/2020	1257
Germany/NW-HHU-05/2020	1263
Germany/NW-HHU-06/2020	1255
Germany/NW-HHU-07/2020	1258
Germany/NW-HHU-08/2020	1260
Germany/NW-HHU-09/2020	1219
Germany/NW-HHU-10/2020	1249
Germany/NW-HHU-12/2020	735
Germany/NW-HHU-49/2020	712
Germany/NW-HHU-56/2020	1255
Germany/NW-HHU-59/2020	1264
Germany/NW-HHU-60/2020	1247
Germany/NW-HHU-61/2020	1255
Germany/NW-HHU-64/2020	1245
Germany/NW-HHU-69/2020	1265
Germany/NW-HHU-72/2020	1248
Germany/NW-HHU-78/2020	114
Greece/127_HPI/2020	219
Greece/133/2020	855
Greece/134/2020	1732
Greece/135/2020	1794
Greece/148/2020	1794
Greece/234_31670/2020	852
Greece/235_31783/2020	1793
Greece/236_31815/2020	1526
Greece/237_31890/2020	854
Greece/238_31927/2020	1793
Greece/239_32178/2020	1793
Greece/243_32202/2020	229
Greece/244_32204/2020	242
Greece/246_32206/2020	853
Greece/247_32207/2020	1793
Greece/248_32261/2020	856
Greece/250_32267/2020	1793
Greece/259_31928/2020	1793
Greece/260_32216/2020	1595
Greece/261_32221/2020	1082
Greece/AUTH_1/2020	1735
Iceland/101/2020	739
Iceland/102/2020	466
Iceland/103/2020	40
Iceland/12/2020	2339
Iceland/13/2020	1352
Iceland/14/2020	52
Iceland/15/2020	2193
Iceland/16/2020	2194
Iceland/17/2020	2199
Iceland/18/2020	650
Iceland/19/2020	2167
Iceland/20/2020	26
Iceland/21/2020	2351
Iceland/22/2020	2203
Iceland/23/2020	2338
Iceland/25/2020	783
Iceland/26/2020	2326
Iceland/27/2020	754
Iceland/30/2020	794
Iceland/31/2020	726
Iceland/32/2020	2332
Iceland/33/2020	2216
Iceland/34/2020	2350
Iceland/35/2020	2233
Iceland/36/2020	726
Iceland/37/2020	2131
Iceland/39/2020	757
Iceland/40/2020	804
Iceland/44/2020	824
Iceland/45/2020	793
Iceland/46/2020	2331
Iceland/47/2020	756
Iceland/48/2020	649
Iceland/49/2020	2320
Iceland/50/2020	2349
Iceland/51/2020	746
Iceland/52/2020	741
Iceland/53/2020	63
Iceland/54/2020	2345
Iceland/55/2020	749
Iceland/56/2020	2163
Iceland/57/2020	805
Iceland/59/2020	755
Iceland/60/2020	651
Iceland/61/2020	787
Iceland/62/2020	2165
Iceland/63/2020	657
Iceland/64/2020	745
Iceland/65/2020	800
Iceland/66/2020	752
Iceland/67/2020	825
Iceland/69/2020	52
Iceland/70/2020	2157
Iceland/72/2020	2200
Iceland/73/2020	2133
Iceland/74/2020	784
Iceland/75/2020	660
Iceland/76/2020	2347
Iceland/77/2020	2337
Iceland/78/2020	2166
Iceland/79/2020	2164
Iceland/80/2020	788
Iceland/81/2020	805
Iceland/82/2020	2156
Iceland/83/2020	2168
Iceland/84/2020	780
Iceland/86/2020	2346
Iceland/87/2020	2321
Iceland/88/2020	740
Iceland/89/2020	2330
Iceland/90/2020	727
Iceland/91/2020	751
Iceland/92/2020	2198
Ireland/CO-NVRL-20134/2020	1274
Ireland/CO-NVRL-22361/2020	1799
Ireland/CO-PHW-2/2020	1212
Ireland/D-NVRL-19072/2020	2196
Ireland/D-NVRL-21145/2020	2252
Ireland/D-NVRL-22428/2020	1901
Ireland/LK-NVRL-19933/2020	633
Ireland/LK-NVRL-19934/2020	643
Ireland/LK-NVRL-19935/2020	113
Ireland/TA-NVRL-21023/2020	2138
Italy/ABR-IZSGC-484/2020	127
Italy/EMR-AMVRC-206/2020	214
Italy/FVG-ICGEB-S1/2020	375
Italy/FVG-ICGEB-S26/2020	368
Italy/FVG-ICGEB-S5/2020	374
Italy/FVG-ICGEB-S8/2020	414
Italy/FVG-ICGEB-S9/2020	391
Italy/LAZ-INMI-8/2020	586
Italy/LAZ-INMI-SPL1/2020	1371
Italy/LAZ-INMI10/2020	390
Italy/LAZ-INMI17/2020	145
Italy/LAZ-INMI3/2020	112
Italy/LAZ-INMI4/2020	1980
Italy/LAZ-INMI5-N/2020	458
Italy/LAZ-INMI5/2020	447
Italy/LOM-AMVRC-9/2020	74
Italy/LOM-ASST-10/2020	73
Italy/LOM-ASST-19/2020	412
Italy/LOM-ASST-2/2020	209
Italy/LOM-ASST-20/2020	140
Italy/LOM-ASST-3/2020	215
Italy/LOM-ASST-4/2020	88
Italy/LOM-ASST-5/2020	879
Italy/LOM-ASST-6/2020	135
Italy/LOM-ASST-7/2020	2081
Italy/LOM-ASST-8/2020	215
Italy/LOM-ASST-AMC2-1245/2020	128
Italy/LOM-ASST-CDG1/2020	372
Italy/LOM-INMI-10734/2020	122
Italy/LOM-INMI-11550/2020	70
Italy/LOM-INMI-11951/2020	461
Italy/LOM-INMI-12578/2020	389
Italy/LOM-INMI-13075-B/2020	422
Italy/LOM-INMI-13075-N/2020	68
Italy/LOM-INMI-13221/2020	75
Italy/LOM-INMI-5314-B/2020	69
Italy/LOM-INMI-5314-N/2020	51
Italy/LOM-INMI-5925/2020	88
Italy/LOM-INMI-7070/2020	75
Italy/LOM-INMI-8058/2020	2364
Italy/LOM-INMI-9206/2020	75
Italy/LOM-INMI-9214/2020	87
Italy/LOM-INMI-9491/2020	1970
Italy/LOM-INMI-9675/2020	463
Italy/LOM-INMI-BG-11639/2020	2043
Italy/LOM-INMI-BG-5825/2020	123
Italy/LOM-INMI-BG-7158/2020	2090
Italy/LOM-INMI-BG-9209/2020	461
Italy/LOM-INMI-BG-9225/2020	123
Italy/LOM-INMI-BS-12256/2020	461
Italy/LOM-UniMI-L100/2020	1927
Italy/LOM-UniMI-L101/2020	2091
Italy/LOM-UniMI-L102/2020	2108
Italy/LOM-UniMI-L103/2020	2113
Italy/LOM-UniMI-L104/2020	630
Italy/LOM-UniMI-L105/2020	2100
Italy/LOM-UniMI-L106/2020	629
Italy/LOM-UniMI-L107/2020	181
Italy/LOM-UniMI-L108/2020	2106
Italy/LOM-UniMI-L111/2020	2108
Italy/LOM-UniMI-L112/2020	2095
Italy/LOM-UniMI-L113/2020	2117
Italy/LOM-UniMI-L115/2020	136
Italy/LOM-UniMI-L116/2020	187
Italy/LOM-UniMI-L117/2020	162
Italy/LOM-UniMI-L122/2020	2108
Italy/LOM-UniMI-L129/2020	2097
Italy/LOM-UniMI-L148/2020	163
Italy/LOM-UniMI-L162/2020	1947
Italy/LOM-UniMI-L163/2020	2106
Italy/LOM-UniMI-L204/2020	429
Italy/LOM-UniMI-L205/2020	2108
Italy/LOM-UniMI-L206/2020	165
Italy/LOM-UniMI-L208/2020	624
Italy/LOM-UniMI-L230/2020	411
Italy/LOM-UniMI-L239/2020	164
Italy/LOM-UniMI-L240/2020	2108
Italy/LOM-UniMI-L242/2020	629
Italy/LOM-UniMI-L249/2020	627
Italy/LOM-UniMI-L250/2020	435
Italy/LOM-UniMI-L251/2020	629
Italy/LOM-UniMI-L252/2020	629
Italy/LOM-UniMI-L253/2020	610
Italy/LOM-UniMI-L254/2020	646
Italy/LOM-UniMI-L256/2020	421
Italy/LOM-UniMI-L257/2020	2363
Italy/LOM-UniMI-L259/2020	613
Italy/LOM-UniMI-L260/2020	615
Italy/LOM-UniMI-L261/2020	631
Italy/LOM-UniMI-L265/2020	419
Italy/LOM-UniMI-L267/2020	607
Italy/LOM-UniMI-L268/2020	628
Italy/LOM-UniMI-L269/2020	2108
Italy/LOM-UniMI-L270/2020	185
Italy/LOM-UniMI-L271/2020	2108
Italy/LOM-UniMI-L272/2020	2094
Italy/LOM-UniMI-L273/2020	608
Italy/LOM-UniMI-L274/2020	598
Italy/LOM-UniMI-L276/2020	184
Italy/LOM-UniMI-L278/2020	2108
Italy/LOM-UniMI-L279/2020	638
Italy/LOM-UniMI-L280/2020	2044
Italy/LOM-UniMI-L281/2020	28
Italy/LOM-UniMI-L282/2020	1831
Italy/LOM-UniMI-L283/2020	638
Italy/LOM-UniMI-L284/2020	446
Italy/LOM-UniMI-L285/2020	2108
Italy/LOM-UniMI-L286/2020	30
Italy/LOM-UniMI-L287/2020	30
Italy/LOM-UniMI-L288/2020	647
Italy/LOM-UniMI-L289/2020	629
Italy/LOM-UniMI-L290/2020	626
Italy/LOM-UniMI-L292/2020	30
Italy/LOM-UniMI-L293/2020	2108
Italy/LOM-UniMI-L294/2020	645
Italy/LOM-UniMI-L295/2020	2108
Italy/LOM-UniMI-L296/2020	2108
Italy/LOM-UniMI-L299/2020	434
Italy/LOM-UniMI-L302/2020	629
