Strain	T5
Austria/CeMM0182/2020	713
Austria/CeMM0183/2020	709
Austria/CeMM0184/2020	521
Austria/CeMM0185/2020	717
Austria/CeMM0186/2020	128
Austria/CeMM0187/2020	707
Austria/CeMM0188/2020	433
Austria/CeMM0189/2020	1210
Austria/CeMM0190/2020	708
Austria/CeMM0191/2020	1912
Austria/CeMM0192/2020	2230
Austria/CeMM0193/2020	525
Austria/CeMM0194/2020	519
Austria/CeMM0195/2020	527
Austria/CeMM0196/2020	553
Austria/CeMM0197/2020	718
Austria/CeMM0198/2020	1223
Austria/CeMM0199/2020	2633
Austria/CeMM0200/2020	713
Austria/CeMM0201/2020	519
Austria/CeMM0204/2020	329
Austria/CeMM0205/2020	704
Austria/CeMM0206/2020	1210
Austria/CeMM0209/2020	1223
Austria/CeMM0210/2020	2633
Austria/CeMM0212/2020	1333
Austria/CeMM0213/2020	715
Austria/CeMM0216/2020	2786
Austria/CeMM0217/2020	705
Austria/CeMM0218/2020	706
Austria/CeMM0219/2020	705
Austria/CeMM0220/2020	1138
Austria/CeMM0221/2020	2785
Austria/CeMM0366/2020	134
Austria/CeMM0390/2020	3070
Austria/CeMM0391/2020	1270
Austria/CeMM0401/2020	711
Austria/CeMM0402/2020	1134
Austria/CeMM0403/2020	1484
Austria/CeMM0413/2020	2099
Austria/CeMM0414/2020	985
Austria/CeMM0423/2020	2283
Austria/CeMM0425/2020	2285
Austria/CeMM0426/2020	2672
Austria/CeMM0427/2020	985
Austria/CeMM0439/2020	513
Austria/CeMM0449/2020	3038
Austria/CeMM0451/2020	981
Austria/CeMM0460/2020	2282
Austria/CeMM0461/2020	985
Austria/CeMM0462/2020	980
Austria/CeMM0463/2020	505
Austria/CeMM0472/2020	715
Austria/CeMM0473/2020	985
Austria/CeMM0474/2020	1270
Austria/CeMM0475/2020	2672
Austria/CeMM0484/2020	985
Austria/CeMM0555/2020	422
Austria/CeMM0556/2020	2137
Austria/CeMM0557/2020	1902
Austria/CeMM0558/2020	513
Austria/CeMM0559/2020	369
Austria/CeMM0562/2020	340
Austria/CeMM0563/2020	960
Austria/CeMM0570/2020	1538
Austria/CeMM0571/2020	422
Austria/CeMM0577/2020	2878
Austria/CeMM0581/2020	556
Belgium/030959/2020	896
Belgium/AC-030982/2020	2299
Belgium/AKM-030670/2020	831
Belgium/BA-02291/2020	431
Belgium/BC-03016/2020	901
Belgium/BDW-030694/2020	588
Belgium/BG-030551/2020	588
Belgium/BG-030955/2020	831
Belgium/BGM-030444/2020	310
Belgium/BJ-030767/2020	1025
Belgium/BM-03012/2020	588
Belgium/BM-030687/2020	1302
Belgium/BS-030598/2020	1283
Belgium/BWM-0311356/2020	3190
Belgium/CD-030679/2020	901
Belgium/CG-030158/2020	2280
Belgium/CS-031052/2020	2225
Belgium/DA-030691/2020	2831
Belgium/DAL-030650/2020	1258
Belgium/DB-03023/2020	2833
Belgium/DBA-03032/2020	1258
Belgium/DBD-03024/2020	834
Belgium/DBOM-030566/2020	431
Belgium/DCS-030796/2020	867
Belgium/DD-030593/2020	830
Belgium/DHWM-03041/2020	1028
Belgium/DJ-030452/2020	867
Belgium/DLDJ-030569/2020	2883
Belgium/DVBJ-030468/2020	227
Belgium/DWAEE-030954/2020	1168
Belgium/ECC-030686/2020	2883
Belgium/FAE-030948/2020	3068
Belgium/FM-030592/2020	2620
Belgium/FR-03029/2020	844
Belgium/GE-030573/2020	2850
Belgium/GJ-030458/2020	895
Belgium/GL-030546/2020	635
Belgium/GMH-03022/2020	1258
Belgium/GOF-030578/2020	310
Belgium/GS-030549/2020	310
Belgium/GSA-030454/2020	1258
Belgium/HAA-030953/2020	1484
Belgium/HC-030760/2020	749
Belgium/HL-030771/2020	636
Belgium/JK-0305110/2020	588
Belgium/JL-03044/2020	1223
Belgium/JRH-030459/2020	2942
Belgium/KA-03042/2020	2924
Belgium/KN-030756/2020	1019
Belgium/LD-030597/2020	957
Belgium/LM-030685/2020	901
Belgium/LT-030956/2020	510
Belgium/LY-030575/2020	834
Belgium/MC-030689/2020	588
Belgium/MCW-030574/2020	834
Belgium/MF-030546/2020	1258
Belgium/MJP-0306100/2020	2299
Belgium/MJP-030684/2020	895
Belgium/MMJ-03034/2020	1292
Belgium/MTR-03021/2020	1258
Belgium/MTR-03026/2020	1258
Belgium/NKR-030645/2020	3070
Belgium/NL-030447/2020	1258
Belgium/PA-030680/2020	900
Belgium/PAN-030681/2020	901
Belgium/QKJ-03015/2020	834
Belgium/QOJ-030751/2020	867
Belgium/RA-030445/2020	2839
Belgium/RA-030664/2020	645
Belgium/RDC-030961/2020	3070
Belgium/rega-0309752/2020	1295
Belgium/REGA-0312401/2020	460
Belgium/Rega-0316260/2020	833
Belgium/RJ-030552/2020	1263
Belgium/RJL-030588/2020	1020
Belgium/RR-030699/2020	832
Belgium/RS-030257/2020	2678
Belgium/RS-030677/2020	897
Belgium/RT-03035/2020	3180
Belgium/RT-030460/2020	3180
Belgium/RYR-030649/2020	895
Belgium/SB-030990/2020	633
Belgium/SH-03014/2020	3258
Belgium/SJ-030583/2020	2299
Belgium/SN-03031/2020	2832
Belgium/SQ-03043/2020	1292
Belgium/SS-031047/2020	636
Belgium/TG-030757/2020	1304
Belgium/UGent-78/2020	244
Belgium/UGent-79/2020	2991
Belgium/UGent-82/2020	513
Belgium/UGent-83/2020	2991
Belgium/UGent-85/2020	329
Belgium/UGent-86/2020	377
Belgium/UGent-87/2020	513
Belgium/UGent-88/2020	2883
Belgium/UGent-90/2020	513
Belgium/UGent-91/2020	2990
Belgium/UGent-92/2020	2879
Belgium/UGent-93/2020	509
Belgium/UGent-94/2020	1915
Belgium/ULG-10213/2020	311
Belgium/ULG-10214/2020	2299
Belgium/ULG-2971/2020	898
Belgium/ULG-3000/2020	901
Belgium/ULG-3163/2020	310
Belgium/ULG-3662/2020	1489
Belgium/ULG-3665/2020	1489
Belgium/ULG-3683/2020	1489
Belgium/ULG-3843/2020	899
Belgium/ULG-4163/2020	2873
Belgium/ULG-6216/2020	1133
Belgium/ULG-6457/2020	880
Belgium/ULG-6503/2020	2879
Belgium/ULG-6638/2020	1418
Belgium/ULG-6649/2020	529
Belgium/ULG-6670/2020	285
Belgium/ULG-6688/2020	2279
Belgium/ULG-6732/2020	285
Belgium/ULG-6743/2020	2299
Belgium/ULG-6754/2020	2867
Belgium/ULG-6839/2020	3068
Belgium/ULG-6842/2020	2299
Belgium/ULG-6939/2020	426
Belgium/ULG-6942/2020	943
Belgium/ULG-6948/2020	943
Belgium/ULG-6950/2020	943
Belgium/ULG-6972/2020	2879
Belgium/ULG-7019/2020	1417
Belgium/ULG-7134/2020	3047
Belgium/ULG-7242/2020	943
Belgium/ULG-7500/2020	3070
Belgium/UMF-03025/2020	834
Belgium/VAG-03013/2020	2902
Belgium/VBK-03061/2020	1307
Belgium/VDLH-030548-2/2020	2981
Belgium/VDLH-030548/2020	588
Belgium/VF-030562/2020	1263
Belgium/VGA-030672/2020	1024
Belgium/VHC-030655/2020	2879
Belgium/VHRA-030644/2020	2909
Belgium/VI-03027/2020	1282
Belgium/VJP-030463/2020	1263
Belgium/VLM-03011/2020	2902
Belgium/VMC-030695/2020	957
Belgium/VPE-030650/2020	2192
Belgium/VRAR-030643/2020	3259
Belgium/VS-030542/2020	1150
Belgium/WAM-030676/2020	901
Belgium/WWM-030665/2020	1258
Bulgaria/41/2020	2914
Croatia/297_Varazdin/2020	613
Croatia/361_Pula/2020	612
Croatia/592_Osijek/2020	611
Croatia/ZG-297-20/2020	1105
Cyprus/001/2020	744
Denmark/ALAB-1000/2020	513
Denmark/ALAB-HH-101/2020	1135
Denmark/ALAB-HH-102/2020	367
Denmark/ALAB-HH-104/2020	3188
Denmark/ALAB-HH-106/2020	3256
Denmark/ALAB-HH-107/2020	451
Denmark/ALAB-HH-108/2020	451
Denmark/ALAB-HH-110/2020	377
Denmark/ALAB-HH-111/2020	451
Denmark/ALAB-HH-112/2020	486
Denmark/ALAB-HH-113/2020	513
Denmark/ALAB-HH-114/2020	371
Denmark/ALAB-HH-115/2020	422
Denmark/ALAB-HH-116/2020	451
Denmark/ALAB-HH-119/2020	584
Denmark/ALAB-HH-121/2020	2715
Denmark/ALAB-HH-122/2020	496
Denmark/ALAB-HH-123/2020	135
Denmark/ALAB-HH-124/2020	452
Denmark/ALAB-HH-125/2020	387
Denmark/ALAB-HH-126/2020	377
Denmark/ALAB-HH-127/2020	327
Denmark/ALAB-HH-128/2020	291
Denmark/ALAB-HH-129/2020	2796
Denmark/ALAB-HH-131/2020	487
Denmark/ALAB-HH-134/2020	500
Denmark/ALAB-HH-135/2020	490
Denmark/ALAB-HH-136/2020	377
Denmark/ALAB-HH-137/2020	452
Denmark/ALAB-HH-138/2020	382
Denmark/ALAB-HH-139/2020	450
Denmark/ALAB-HH-140/2020	1262
Denmark/ALAB-HH-141/2020	496
Denmark/ALAB-HH-142/2020	497
Denmark/ALAB-HH-143/2020	496
Denmark/ALAB-HH-144/2020	2239
Denmark/ALAB-HH-145/2020	553
Denmark/ALAB-HH-148/2020	494
Denmark/ALAB-HH-97/2020	942
Denmark/ALAB-HH-99/2020	960
Denmark/ALAB-HH01/2020	350
Denmark/ALAB-HH02/2020	348
Denmark/ALAB-HH03/2020	513
Denmark/ALAB-HH04/2020	455
Denmark/ALAB-HH05/2020	513
Denmark/ALAB-HH06/2020	455
Denmark/ALAB-HH07/2020	513
Denmark/ALAB-HH08/2020	532
Denmark/ALAB-HH11/2020	513
Denmark/ALAB-HH13/2020	444
Denmark/ALAB-HH14/2020	451
Denmark/ALAB-HH15/2020	1108
Denmark/ALAB-HH16/2020	386
Denmark/ALAB-HH17/2020	386
Denmark/ALAB-HH18/2020	513
Denmark/ALAB-HH19/2020	302
Denmark/ALAB-HH20/2020	583
Denmark/ALAB-HH21/2020	2247
Denmark/ALAB-HH22/2020	513
Denmark/ALAB-HH23/2020	513
Denmark/ALAB-HH24/2020	513
Denmark/ALAB-HH25/2020	513
Denmark/ALAB-HH26/2020	2796
Denmark/ALAB-HH27/2020	489
Denmark/ALAB-HH28/2020	494
Denmark/ALAB-HH29/2020	3190
Denmark/ALAB-HH30/2020	2240
Denmark/ALAB-HH31/2020	488
Denmark/ALAB-HH32/2020	388
Denmark/ALAB-HH35/2020	355
Denmark/ALAB-HH37/2020	498
Denmark/ALAB-HH38/2020	568
Denmark/ALAB-HH39/2020	1916
Denmark/ALAB-HH41/2020	493
Denmark/ALAB-HH42/2020	365
Denmark/ALAB-HH43/2020	513
Denmark/ALAB-HH46/2020	567
Denmark/ALAB-HH49/2020	428
Denmark/ALAB-HH50/2020	567
Denmark/ALAB-HH51/2020	468
Denmark/ALAB-HH77/2020	496
Denmark/ALAB-HH80/2020	492
Denmark/ALAB-HH81/2020	496
Denmark/ALAB-HH82/2020	513
Denmark/ALAB-HH83/2020	437
Denmark/ALAB-HH84/2020	2671
Denmark/ALAB-HH87/2020	567
Denmark/ALAB-HH88/2020	2072
Denmark/ALAB-HH89/2020	512
Denmark/ALAB-HH91/2020	344
Denmark/ALAB-HH92/2020	491
Denmark/ALAB-HH96/2020	569
Denmark/ALAB-SSI-1235/2020	341
Denmark/ALAB-SSI-1238/2020	446
Denmark/ALAB-SSI-1239/2020	380
Denmark/ALAB-SSI-1241/2020	513
Denmark/ALAB-SSI-1243/2020	2244
Denmark/ALAB-SSI-1244/2020	513
Denmark/ALAB-SSI-1245/2020	2229
Denmark/ALAB-SSI-1246/2020	1148
Denmark/ALAB-SSI-1248/2020	506
Denmark/ALAB-SSI-1249/2020	513
Denmark/ALAB-SSI-1250/2020	1989
Denmark/ALAB-SSI-1252/2020	513
Denmark/ALAB-SSI-1256/2020	2242
Denmark/ALAB-SSI-1257/2020	504
Denmark/ALAB-SSI-1260/2020	286
Denmark/ALAB-SSI-1261/2020	378
Denmark/ALAB-SSI-1262/2020	1149
Denmark/ALAB-SSI-1263/2020	2715
Denmark/ALAB-SSI-1264/2020	513
Denmark/ALAB-SSI-1265/2020	513
Denmark/ALAB-SSI-1268/2020	429
Denmark/ALAB-SSI-1269/2020	513
Denmark/ALAB-SSI-1270/2020	513
Denmark/ALAB-SSI-1272/2020	451
Denmark/ALAB-SSI-133/2020	131
Denmark/ALAB-SSI-135/2020	377
Denmark/ALAB-SSI-136/2020	451
Denmark/ALAB-SSI-137/2020	368
Denmark/ALAB-SSI-138/2020	301
Denmark/ALAB-SSI-197/2020	351
Denmark/ALAB-SSI-242/2020	574
Denmark/ALAB-SSI-243/2020	371
Denmark/ALAB-SSI-244/2020	2247
Denmark/ALAB-SSI-245/2020	588
Denmark/ALAB-SSI-246/2020	451
Denmark/ALAB-SSI-247/2020	304
Denmark/ALAB-SSI-248/2020	1095
Denmark/ALAB-SSI-251/2020	2251
Denmark/ALAB-SSI-284/2020	377
Denmark/ALAB-SSI-674/2020	2671
Denmark/ALAB-SSI-756/2020	513
Denmark/ALAB-SSI-757/2020	513
Denmark/ALAB-SSI-761/2020	567
Denmark/ALAB-SSI-762/2020	374
Denmark/ALAB-SSI101/2020	3190
Denmark/ALAB-SSI102/2020	636
Denmark/ALAB-SSI103/2020	2108
Denmark/ALAB-SSI104/2020	495
Denmark/ALAB-SSI105/2020	513
Denmark/ALAB-SSI106/2020	566
Denmark/ALAB-SSI107/2020	542
Denmark/ALAB-SSI108/2020	3257
Denmark/ALAB-SSI109/2020	901
Denmark/ALAB-SSI110/2020	451
Denmark/ALAB-SSI111/2020	513
Denmark/ALAB-SSI113/2020	451
Denmark/ALAB-SSI114/2020	469
Denmark/ALAB-SSI117/2020	588
Denmark/ALAB-SSI118/2020	829
Denmark/ALAB-SSI119/2020	300
Denmark/ALAB-SSI120/2020	346
Denmark/ALAB-SSI121/2020	343
Denmark/ALAB-SSI122/2020	343
Denmark/ALAB-SSI123/2020	513
Denmark/ALAB-SSI125/2020	901
Denmark/ALAB-SSI126/2020	377
Denmark/ALAB-SSI128/2020	513
Denmark/ALAB-SSI129/2020	553
Denmark/ALAB-SSI132/2020	513
Denmark/ALAB-SSI139/2020	370
Denmark/ALAB-SSI141/2020	554
Denmark/ALAB-SSI142/2020	2247
Denmark/ALAB-SSI143/2020	555
Denmark/ALAB-SSI144/2020	355
Denmark/ALAB-SSI145/2020	558
Denmark/ALAB-SSI146/2020	349
Denmark/ALAB-SSI147/2020	355
Denmark/ALAB-SSI148/2020	353
Denmark/ALAB-SSI149/2020	2214
Denmark/ALAB-SSI150/2020	513
Denmark/ALAB-SSI151/2020	513
Denmark/ALAB-SSI154/2020	508
Denmark/ALAB-SSI155/2020	557
Denmark/ALAB-SSI156/2020	513
Denmark/ALAB-SSI157/2020	2247
Denmark/ALAB-SSI158/2020	513
Denmark/ALAB-SSI159/2020	446
Denmark/ALAB-SSI160/2020	446
Denmark/ALAB-SSI162/2020	513
Denmark/ALAB-SSI163/2020	513
Denmark/ALAB-SSI164/2020	377
Denmark/ALAB-SSI167/2020	349
Denmark/ALAB-SSI168/2020	386
Denmark/ALAB-SSI169/2020	340
Denmark/ALAB-SSI171/2020	349
Denmark/ALAB-SSI172/2020	513
Denmark/ALAB-SSI173/2020	513
Denmark/ALAB-SSI174/2020	448
Denmark/ALAB-SSI183/2020	355
Denmark/ALAB-SSI184/2020	355
Denmark/ALAB-SSI186/2020	355
Denmark/ALAB-SSI187/2020	302
Denmark/ALAB-SSI189/2020	355
Denmark/ALAB-SSI190/2020	376
Denmark/ALAB-SSI193/2020	1582
Denmark/ALAB-SSI194/2020	513
Denmark/ALAB-SSI195/2020	513
Denmark/ALAB-SSI199/2020	2232
Denmark/ALAB-SSI200/2020	1064
Denmark/ALAB-SSI201/2020	3270
Denmark/ALAB-SSI202/2020	438
Denmark/ALAB-SSI203/2020	2228
Denmark/ALAB-SSI204/2020	564
Denmark/ALAB-SSI205/2020	455
Denmark/ALAB-SSI207/2020	345
Denmark/ALAB-SSI209/2020	3270
Denmark/ALAB-SSI213/2020	513
Denmark/ALAB-SSI215/2020	513
Denmark/ALAB-SSI216/2020	901
Denmark/ALAB-SSI219/2020	556
Denmark/ALAB-SSI221/2020	1231
Denmark/ALAB-SSI226/2020	834
Denmark/ALAB-SSI228/2020	2239
Denmark/ALAB-SSI234/2020	746
Denmark/ALAB-SSI235/2020	901
Denmark/ALAB-SSI239/2020	555
Denmark/ALAB-SSI253/2020	423
Denmark/ALAB-SSI254/2020	305
Denmark/ALAB-SSI256/2020	2229
Denmark/ALAB-SSI258/2020	2247
Denmark/ALAB-SSI259/2020	2247
Denmark/ALAB-SSI260/2020	354
Denmark/ALAB-SSI261/2020	459
Denmark/ALAB-SSI262/2020	133
Denmark/ALAB-SSI263/2020	901
Denmark/ALAB-SSI264/2020	2234
Denmark/ALAB-SSI265/2020	2247
Denmark/ALAB-SSI268/2020	513
Denmark/ALAB-SSI269/2020	565
Denmark/ALAB-SSI270/2020	2243
Denmark/ALAB-SSI271/2020	446
Denmark/ALAB-SSI271A/2020	355
Denmark/ALAB-SSI272/2020	377
Denmark/ALAB-SSI273/2020	132
Denmark/ALAB-SSI274/2020	355
Denmark/ALAB-SSI275/2020	355
Denmark/ALAB-SSI276/2020	131
Denmark/ALAB-SSI277/2020	534
Denmark/ALAB-SSI279/2020	513
Denmark/ALAB-SSI280/2020	434
Denmark/ALAB-SSI282/2020	357
Denmark/ALAB-SSI283/2020	355
Denmark/ALAB-SSI285/2020	355
Denmark/ALAB-SSI286/2020	2278
Denmark/ALAB-SSI288/2020	355
Denmark/ALAB-SSI29/2020	876
Denmark/ALAB-SSI293/2020	2246
Denmark/ALAB-SSI298/2020	451
Denmark/ALAB-SSI299/2020	513
Denmark/ALAB-SSI300/2020	513
Denmark/ALAB-SSI301/2020	339
Denmark/ALAB-SSI302/2020	557
Denmark/ALAB-SSI323/2020	355
Denmark/ALAB-SSI324/2020	2811
Denmark/ALAB-SSI329/2020	292
Denmark/ALAB-SSI330/2020	137
Denmark/ALAB-SSI332/2020	355
Denmark/ALAB-SSI402/2020	377
Denmark/ALAB-SSI404/2020	352
Denmark/ALAB-SSI405/2020	1258
Denmark/ALAB-SSI407/2020	513
Denmark/ALAB-SSI408/2020	556
Denmark/ALAB-SSI409/2020	377
Denmark/ALAB-SSI411/2020	513
Denmark/ALAB-SSI412/2020	901
Denmark/ALAB-SSI413/2020	513
Denmark/ALAB-SSI414/2020	451
Denmark/ALAB-SSI416/2020	513
Denmark/ALAB-SSI417/2020	513
Denmark/ALAB-SSI418/2020	574
Denmark/ALAB-SSI419/2020	563
Denmark/ALAB-SSI420/2020	1200
Denmark/ALAB-SSI423/2020	409
Denmark/ALAB-SSI424/2020	485
Denmark/ALAB-SSI426/2020	507
Denmark/ALAB-SSI514/2020	513
Denmark/SSI-01/2020	934
Denmark/SSI-02/2020	74
Denmark/SSI-03/2020	2980
Denmark/SSI-04/2020	224
Denmark/SSI-05/2020	1088
Denmark/SSI-09/2020	2989
Denmark/SSI-101/2020	3191
Denmark/SSI-102/2020	637
Denmark/SSI-104/2020	495
Finland/13M19/2020	3184
Finland/13M26/2020	456
Finland/13M27/2020	359
Finland/13M29/2020	50
Finland/13M3/2020	1098
Finland/13M33/2020	258
Finland/13M57/2020	2652
Finland/13M58/2020	289
Finland/13M60/2020	288
Finland/13M64/2020	288
Finland/13M65/2020	289
Finland/13M69/2020	444
Finland/13M6S4/2020	626
Finland/13M77/2020	1305
Finland/13M79/2020	1904
Finland/13M82/2020	290
Finland/13M83/2020	435
Finland/14M12/2020	287
Finland/14M13/2020	3183
Finland/14M14/2020	3196
Finland/14M16/2020	289
Finland/14M20/2020	1794
Finland/14M26/2020	287
Finland/14M3/2020	424
Finland/14M32/2020	358
Finland/14M74/2020	2241
Finland/14M77/2020	2761
Finland/14M82/2020	1940
Finland/FIN-114/2020	3237
Finland/FIN-25/2020	3234
Finland/FIN-274/2020	1556
Finland/FIN-313/2020	1234
Finland/FIN-318/2020	1191
Finland/FIN-455/2020	332
Finland/FIN-508/2020	1271
Finland/FIN01032020/2020	1556
Finland/FIN03032020A/2020	631
Finland/FIN03032020B/2020	1556
Finland/FIN03032020C/2020	1189
France/211_80/2020	325
France/ARA-08938-isl/2020	414
France/ARA-09112-isl/2020	270
France/ARA05288/2020	269
France/ARA0591/2020	2925
France/ARA0592/2020	2927
France/ARA06032/2020	149
France/ARA06391/2020	3117
France/ARA06923/2020	3074
France/ARA07055/2020	528
France/ARA07148/2020	267
France/ARA07169/2020	268
France/ARA0731/2020	527
France/ARA07314/2020	3119
France/ARA07639/2020	272
France/ARA07722/2020	549
France/ARA07731/2020	1911
France/ARA0779/2020	269
France/ARA07910/2020	267
France/ARA08067/2020	549
France/ARA0814/2020	241
France/ARA08417/2020	2927
France/ARA08589/2020	266
France/ARA0873/2020	503
France/ARA08938/2020	530
France/ARA09178/2020	3118
France/ARA09193/2020	199
France/ARA094100/2020	3161
France/ARA09428/2020	266
France/ARA09434/2020	3162
France/ARA09451/2020	3093
France/B1623/2020	262
France/B2330/2020	439
France/B2334/2020	2168
France/B2335/2020	358
France/B2336/2020	538
France/B2337/2020	519
France/B2340/2020	2169
France/B2343/2020	359
France/B2344/2020	418
France/B2346/2020	441
France/B2348/2020	470
France/B2349/2020	420
France/B2351/2020	419
France/B6041/2020	3211
France/BFC2094/2020	3133
France/BFC2147/2020	3091
France/Bourg-en-Bresse_06678/2020	3067
France/Bourg-en-Bresse_06813/2020	531
France/CIBU200107/2020	483
France/CIBU200132/2020	237
France/Clermont-Ferrand_650/2020	3073
France/Clermont-Ferrand_651/2020	3056
France/CVL2000/2020	3069
France/GE1583-2/2020	2598
France/GE1583/2020	2598
France/GE1973/2020	2976
France/GE1977/2020	236
France/GE2720/2020	3179
France/GE2722/2020	3165
France/GE8766/2020	3100
France/GE8767/2020	3070
France/GE8771/2020	3034
France/GE8774/2020	3070
France/HF1463/2020	332
France/HF1465/2020	332
France/HF1645/2020	513
France/HF1684/2020	242
France/HF1795/2020	535
France/HF1805/2020	264
France/HF1813/2020	465
France/HF1870/2020	2998
France/HF1871/2020	481
France/HF1986/2020	562
France/HF1988/2020	547
France/HF1989/2020	548
France/HF1993/2020	239
France/HF1995/2020	261
France/HF2039/2020	430
France/HF2060/2020	235
France/HF2150/2020	476
France/HF2151/2020	3015
France/HF2155/2020	228
France/HF2174/2020	238
France/HF2196/2020	3179
France/HF2234/2020	457
France/HF2237/2020	416
France/HF2239/2020	260
France/HF2306/2020	484
France/HF2381/2020	417
France/HF2393/2020	230
France/HF2405/2020	404
France/HF2496/2020	3172
France/IDF0372-isl/2020	2152
France/IDF0386-islP1/2020	2152
France/IDF0386-islP3/2020	2152
France/IDF0515-isl/2020	2142
France/IDF0571/2020	2142
France/IDF0626/2020	2199
France/IDF1980/2020	231
France/IDF2075/2020	425
France/IDF2251/2020	480
France/IDF2252/2020	479
France/IDF2253/2020	479
France/IDF2256/2020	479
France/IDF2278/2020	3122
France/IDF2279/2020	3060
France/IDF2284/2020	400
France/IDF2359/2020	313
France/IDF2410/2020	259
France/IDF2412/2020	580
France/IDF2414/2020	579
France/IDF2420/2020	3027
France/IDF2532/2020	259
France/IDF2533/2020	259
France/IDF2534/2020	3113
France/IDF2536/2020	3124
France/IDF2548/2020	482
France/IHU-0012/2020	870
France/IHU-0014/2020	3030
France/IHU-0016/2020	3170
France/IHU-0017/2020	2223
France/IHU-0018/2020	668
France/IHU-0019/2020	551
France/IHU-0020/2020	3167
France/IHU-0021/2020	578
France/IHU-0022/2020	551
France/IHU-0024/2020	815
France/IHU-0026/2020	3062
France/IHU-0130/2020	578
France/IHU-0131/2020	551
France/IHU-0132/2020	2670
France/IHU-0133/2020	3039
France/IHU-0135/2020	3173
France/IHU-0136/2020	3030
France/IHU-0139/2020	313
France/IHU-0648/2020	551
France/IHU-0649/2020	986
France/IHU-0655/2020	3030
France/IHU-0659/2020	1087
France/IHU-0756/2020	259
France/IHU-0760/2020	3061
France/IHU-0851/2020	3019
France/IHU-0852/2020	578
France/IHU-0869/2020	3167
France/IHU-0871/2020	578
France/IHU-0906/2020	2330
France/Lyon_06042/2020	3076
France/Lyon_06056/2020	3007
France/Lyon_06487/2020	3008
France/Lyon_06531/2020	3121
France/Lyon_06573/2020	2195
France/Lyon_06625/2020	3074
France/Lyon_0668/2020	267
France/Lyon_06820/2020	3074
France/Lyon_0693/2020	271
France/Lyon_487/2020	3007
France/Lyon_508/2020	550
France/Lyon_683/2020	3076
France/Macon_06756/2020	536
France/N1620/2020	222
France/N2223/2020	218
France/NA01745/2020	551
France/PL1643/2020	442
France/Pollionay_1733/2020	3120
France/RA739/2020	2063
France/Valence_425/2020	1175
France/Valence_532/2020	3093
Germany/BAV-MVP0109/2020	207
Germany/BAV-V2010517/2020	1176
